mode,date,h,model,yhat,lo,hi
rail_komuter_utara,2026-08-11,11,weekday_mean,15145.5,12473.099700265953,17172.33960631158
rail_komuter_utara,2026-08-12,12,weekday_mean,14680.5,12858.568702773438,16760.71993037884
rail_komuter_utara,2026-08-13,13,weekday_mean,17904.75,16087.850860839615,20134.48502875295
rail_komuter_utara,2026-08-14,14,weekday_mean,22005.75,20037.492730256556,25668.942176663368
rail_komuter_utara,2026-08-01,1,ets,20319.892916827044,18545.945176714285,22007.84155435028
rail_komuter_utara,2026-08-02,2,ets,22175.800046098582,19817.795634471946,24724.985416840744
rail_komuter_utara,2026-08-03,3,ets,18621.02655733368,15189.065130193376,21438.253074366177
rail_komuter_utara,2026-08-04,4,ets,16525.667129651672,13931.489935006775,19064.23645528474
rail_komuter_utara,2026-08-05,5,ets,16437.588485597833,14100.594834117543,18336.566011339997
rail_komuter_utara,2026-08-06,6,ets,19762.276558171892,16171.101435317876,22384.599942315694
rail_komuter_utara,2026-08-07,7,ets,22741.666571062768,17981.00239884516,25747.576359601328
rail_komuter_utara,2026-08-08,8,ets,20319.892916827044,17373.53324627352,22648.382177748947
rail_komuter_utara,2026-08-09,9,ets,22175.800046098582,19271.15096638144,25224.80177355353
rail_komuter_utara,2026-08-10,10,ets,18621.02655733368,14818.917927256305,21527.922809423082
rail_komuter_utara,2026-08-11,11,ets,16525.667129651672,13843.783685623057,18823.414882562924
rail_komuter_utara,2026-08-12,12,ets,16437.588485597833,13841.136078937943,18844.268251621703
rail_komuter_utara,2026-08-13,13,ets,19762.276558171892,17302.628519430902,22464.58918464613
rail_komuter_utara,2026-08-14,14,ets,22741.666571062768,20377.2600073084,26078.86552017175
rail_komuter_utara,2026-08-01,1,lgbm_nohol,20283.790986291187,18600.813131502706,21958.76523506773
rail_komuter_utara,2026-08-02,2,lgbm_nohol,22028.881273369363,19685.115613053877,24768.24544292046
rail_komuter_utara,2026-08-03,3,lgbm_nohol,17552.539234248507,13796.633264046684,18823.254344871595
rail_komuter_utara,2026-08-04,4,lgbm_nohol,15569.987339432151,12809.908244525373,16720.110058448736
rail_komuter_utara,2026-08-05,5,lgbm_nohol,14921.017610526123,12823.79748997027,16164.71757144222
rail_komuter_utara,2026-08-06,6,lgbm_nohol,18617.127966134838,15079.467922549456,20052.59317336619
rail_komuter_utara,2026-08-07,7,lgbm_nohol,22203.360326518763,17297.69599400718,23914.66794081923
rail_komuter_utara,2026-08-08,8,lgbm_nohol,19942.870850776962,17400.340739229818,21791.119496509134
rail_komuter_utara,2026-08-09,9,lgbm_nohol,21857.201980515503,18935.15540713704,23971.75049167873
rail_komuter_utara,2026-08-10,10,lgbm_nohol,17497.783062067105,14563.301651260748,18570.011403786324
rail_komuter_utara,2026-08-11,11,lgbm_nohol,15540.525091907686,13221.741740162845,16614.340278816813
